"데이터버전","분석단위","자치구명","법정동명","법정동코드8","면적구간","예산구간","거래건수","가격_중앙값_만원","가격_중앙값_억원","단가_중앙값_만원_m2","최소금액_만원","최대금액_만원","거래기간_시작","거래기간_끝","가격표본_신뢰도","GBD_시간분","YBD_시간분","CBD_시간분","3대도심_평균통근시간분","강남_광화문_평균통근시간분","강남_광화문_최장통근시간분","강남_여의도_평균통근시간분","강남_여의도_최장통근시간분","여의도_광화문_평균통근시간분","여의도_광화문_최장통근시간분","매핑_행정동수","통근자료_매핑수","통근자료상태","하락기_낙폭_%","저점대비_회복률_%","방어력_고점분기","방어력_저점분기","방어력_최근분기","유효분기수","방어력_거래건수합","현재고점_미검증","방어력상태","3040비중_%","3040_기준분기","통근점수","방어력점수","3040친화점수","유동성점수","통근점수_강남_광화문","통근점수_강남_여의도","통근점수_여의도_광화문","기존후보마스터_종합점수","기준_종합점수_검토용","최종_종합점수","통근우선_종합점수","방어우선_종합점수","시나리오점수_강남_광화문","시나리오점수_강남_여의도","시나리오점수_여의도_광화문","추천순위_예산면적내","통근우선순위_예산면적내","방어우선순위_예산면적내","강남_광화문_순위_예산면적내","강남_여의도_순위_예산면적내","여의도_광화문_순위_예산면적내","최종추천대상","추천상태","제외_주의사유","가격_산정기준","통근_산정기준","점수_가중치","참조기록","예산상한_억원","예산잔액_억원","가성비율_%","가성비순위_예산면적내","가성비점수","최종_안정성점수","안정성_출처","최종_종합점수_v2","추천상태_v2","최종추천대상_v2"
"v4.0_20260902","법정동×면적구간","구로구","구로동","11530102.0","59㎡급(55~65)","7억 이하","248","59750.0","5.98","1000.95110643645","23000","133000","20260102","20260813","충분(10건+)","61.4","42.9","57.0","53.8","59.2","61.4","52.2","61.4","50.0","57.0","5","5","검증완료_v2기준","-3.0","0.0","20254.0","20261.0","20261.0","21.0","4191.0","False","검증완료","29.78","20261","61.9","96.0","47.0","81.5","39.6","64.1","61.1","70.4","70.4","70.4","67.7","74.5","62.6","71.1","70.1","1.0","1.0","1.0","1.0","1.0","1.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.02","14.6","27","42.2","96.0","방어력(실측)","70.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","금천구","가산동","11545101.0","59㎡급(55~65)","7억 이하","41","65000.0","6.5","1086.22994652406","38100","75000","20260110","20260811","충분(10건+)","64.7","51.3","67.8","61.3","66.2","67.8","58.0","64.7","59.6","67.8","1","1","검증완료_v2기준","-20.0","26.0","20223.0","20253.0","20261.0","21.0","456.0","False","검증완료","41.18","20261","43.5","69.5","73.8","51.4","22.1","52.5","42.9","60.3","59.7","59.7","55.6","60.8","52.2","62.8","59.5","2.0","3.0","3.0","7.0","2.0","3.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.5","7.1","34","25.6","69.5","방어력(실측)","59.7","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","관악구","신림동","11620102.0","59㎡급(55~65)","7억 이하","217","60000.0","6.0","1000.66711140761","28100","145000","20260102","20260820","충분(10건+)","53.6","46.5","64.5","54.9","59.0","64.5","50.0","53.6","55.5","64.5","11","11","검증완료_v2기준","-28.4","46.9","20214.0","20231.0","20261.0","21.0","2368.0","False","검증완료","32.43","20261","59.2","56.4","53.2","79.3","40.0","68.3","50.6","58.8","58.9","58.9","59.4","58.9","52.2","62.1","55.9","3.0","2.0","4.0","6.0","3.0","4.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.0","14.3","28","37.8","56.4","방어력(실측)","58.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","은평구","갈현동","11380104.0","59㎡급(55~65)","7억 이하","19","52000.0","5.2","877.637130801688","44000","62000","20260117","20260725","충분(10건+)","76.4","60.6","46.1","61.1","61.3","76.4","68.6","76.4","53.4","60.6","2","2","검증완료_v2기준","-5.2","0.0","20252.0","20261.0","20261.0","21.0","409.0","False","검증완료","28.41","20261","43.9","92.5","43.8","38.9","34.5","31.4","54.6","57.3","58.0","58.0","53.1","62.8","54.7","53.6","61.7","4.0","6.0","2.0","3.0","5.0","2.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.8","25.7","15","68.9","92.5","방어력(실측)","58.0","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","송파구","방이동","11710111.0","59㎡급(55~65)","7억 이하","10","66100.0","6.61","1175.73817146923","60000","242000","20260122","20260725","충분(10건+)","43.9","65.9","61.5","57.1","52.7","61.5","54.9","65.9","63.7","65.9","3","3","검증완료_v2기준","-26.2","41.3","20251.0","20254.0","20261.0","21.0","946.0","False","검증완료","37.85","20261","53.7","59.8","66.0","28.8","55.7","58.6","35.0","55.6","56.1","56.1","54.9","56.1","56.8","57.8","49.6","5.0","4.0","5.0","2.0","4.0","10.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.39","5.6","37","20.0","59.8","방어력(실측)","56.1","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","중랑구","면목동","11260101.0","59㎡급(55~65)","7억 이하","134","67000.0","6.7","1118.10156367338","37000","135000","20260109","20260814","충분(10건+)","52.4","70.9","59.5","60.9","55.9","59.5","61.7","70.9","65.2","70.9","6","6","검증완료_v2기준","-24.6","50.8","20213.0","20224.0","20261.0","21.0","1829.0","False","검증완료","28.37","20261","44.3","62.3","43.7","71.2","47.7","45.1","32.2","52.0","52.2","52.2","50.5","54.1","53.4","52.5","48.0","6.0","7.0","6.0","5.0","7.0","12.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.3","4.3","40","13.3","62.3","방어력(실측)","52.2","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","광진구","중곡동","11215101.0","59㎡급(55~65)","7억 이하","23","56800.0","5.68","980.748274609517","47000","72000","20260116","20260708","충분(10건+)","45.8","65.6","49.3","53.6","47.5","49.3","55.7","65.6","57.5","65.6","4","4","검증완료_v2기준","-35.1","0.0","20254.0","20261.0","20261.0","15.0","240.0","False","검증완료","30.39","20261","62.4","46.0","48.4","42.0","68.6","57.1","46.8","51.3","51.9","51.9","54.3","51.0","54.1","50.1","46.5","7.0","5.0","10.0","4.0","11.0","15.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.32","18.9","23","51.1","46.0","방어력(실측)","51.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","구로구","오류동","11530108.0","59㎡급(55~65)","7억 이하","88","55500.0","5.55","927.244876033515","37000","83000","20260109","20260806","충분(10건+)","73.2","52.0","65.5","63.6","69.4","73.2","62.6","73.2","58.7","65.5","2","2","검증완료_v2기준","-27.9","72.9","20213.0","20223.0","20261.0","21.0","1060.0","False","검증완료","34.26","20261","37.8","57.2","57.6","64.1","14.3","43.3","44.4","51.5","51.2","51.2","48.3","52.2","43.0","53.1","53.5","8.0","9.0","8.0","12.0","6.0","6.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.45","20.7","20","56.7","57.2","방어력(실측)","51.2","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","구로구","개봉동","11530107.0","59㎡급(55~65)","7억 이하","250","69000.0","6.9","1160.73748070722","25200","101700","20260103","20260822","충분(10건+)","74.3","50.6","63.9","62.9","69.1","74.3","62.4","74.3","57.3","63.9","3","3","검증완료_v2기준","-23.9","34.8","20252.0","20253.0","20261.0","21.0","2307.0","False","검증완료","26.66","20261","39.4","63.4","39.7","81.6","15.0","43.6","47.2","51.0","50.9","50.9","48.5","53.3","42.4","52.4","53.6","9.0","8.0","7.0","15.0","8.0","5.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","0.1","1.4","44","3.3","63.4","방어력(실측)","50.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","중랑구","묵동","11260104.0","59㎡급(55~65)","7억 이하","65","58500.0","5.85","979.819879919947","38000","101000","20260103","20260808","충분(10건+)","55.2","72.3","57.5","61.7","56.4","57.5","63.8","72.3","64.9","72.3","2","2","검증완료_v2기준","-27.8","57.0","20214.0","20231.0","20261.0","21.0","982.0","False","검증완료","29.63","20261","42.4","57.3","46.7","59.1","46.6","40.9","32.7","49.2","49.6","49.6","47.9","50.9","51.1","49.1","46.2","10.0","10.0","11.0","8.0","13.0","17.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","7.0","1.15","16.4","25","45.6","57.3","방어력(실측)","49.6","최종추천가능","True"
